Sample Name,"Sample depth, m ",Porosity,"Length, ft","Klinkenberg Permeability, mD","Effective Permeability to Oil at Swi, mD",Sw,Krw,Kro
TGT-22H,2697.76,22.8,0.164895013,155,67.10001021,0.275,0,1
,,,,,,0.394,0.020727735,0.261894932
,,,,,,0.439,0.030124654,0.163125
,,,,,,0.482,0.037655817,0.11328125
,,,,,,0.525,0.044949227,0.081133356
,,,,,,0.58,0.056838969,0.061556604
,,,,,,0.628,0.072132893,0.043399957
,,,,,,0.677,0.100415512,0.025892857
,,,,,,0.779,0.220088794,0
