Sample Name,"Sample depth, m ",Porosity,"Length, ft","Klinkenberg Permeability, mD","Effective Permeability to Oil at Swi, mD",Sw,Krw,Kro
TGT-42H,2704.7,23.9,0.171653543,2625,1532.28314,0.1622,0,1
,,,,,,0.288,0.027297886,0.344908793
,,,,,,0.366,0.031129485,0.16856616
,,,,,,0.42,0.03615392,0.108763043
,,,,,,0.466,0.042139695,0.076062149
,,,,,,0.522,0.052164028,0.056493642
,,,,,,0.579,0.075196869,0.045243449
,,,,,,0.654,0.115420129,0.029761905
,,,,,,0.799,0.251825737,0
