Sample Name	24H	
"Sample depth, m "	2752.05	
"Porosity, % "	20.61	
"Length, ft"	0.168963255	
"Klinkenberg Permeability, mD"	12	
"Effective Permeability to Oil at Swi, mD"	6.54	
		
Sw	Krw	Kro
0.3307	0	1
0.4893	0.0142	0.2379
0.5276	0.0284	0.1789
0.5539	0.047	0.1318
0.575	0.063	0.0662
0.7059	0.2234	0
