Sample Name,"Sample depth, m ",Porosity,"Length, ft","Klinkenberg Permeability, mD","Effective Permeability to Oil at Swi, mD",Sw,Krw,Kro
TGT-2H,2691.8,20.9,0.174507874,1075,533.1508888,0.188133971,0,1
,,,,,,0.278564593,0.014818098,0.374453336
,,,,,,0.364976077,0.028336117,0.153440074
,,,,,,0.439330144,0.029432133,0.088541667
,,,,,,0.492583732,0.034124212,0.061594203
,,,,,,0.548851675,0.050839202,0.055058855
,,,,,,0.594066986,0.071295906,0.04289637
,,,,,,0.653349282,0.147160665,0.037946429
,,,,,,0.776937799,0.324768364,0
