Sample Name,"Sample depth, m ",Porosity,"Length, ft","Klinkenberg Permeability, mD","Effective Permeability to Oil at Swi, mD",Sw,Krw,Kro
HST-44H,2756.64,0.2181,0.170800525,409,310.54,0.2374,0,1
,,,,,,0.4087,0.0142,0.4164
,,,,,,0.4481,0.0236,0.2973
,,,,,,0.4763,0.0319,0.2232
,,,,,,0.5001,0.0457,0.1921
,,,,,,0.5262,0.0643,0.1622
,,,,,,0.553,0.0917,0.1285
,,,,,,0.5867,0.1254,0.0753
,,,,,,0.7507,0.3411,0
