Sample Name,"Sample depth, m ",Porosity,"Length, ft","Klinkenberg Permeability, mD","Effective Permeability to Oil at Swi, mD",Sw,Krw,Kro
TGT-104H,2813.35,18.4,0.184645669,410,184.6430731,0.236,0,1
,,,,,,0.288,0.02098676,0.454573226
,,,,,,0.368,0.054126783,0.244247108
,,,,,,0.429,0.062430231,0.150248756
,,,,,,0.493,0.081417528,0.110218978
,,,,,,0.556,0.095280763,0.068792711
,,,,,,0.619,0.142661162,0.042917233
,,,,,,0.754048769,0.359261085,0
