Sample Name,"Sample depth, m ",Porosity,"Length, ft","Klinkenberg Permeability, mD","Effective Permeability to Oil at Swi, mD",Sw,Krw,Kro
TGT-113H,2817.03,21.7,0.176902887,1927,1042.370928,0.182,0,1
,,,,,,0.296,0.025369204,0.320539889
,,,,,,0.352,0.0338217,0.183144505
,,,,,,0.398,0.041869247,0.125956652
,,,,,,0.443,0.046403841,0.083758933
,,,,,,0.491,0.058618798,0.063484158
,,,,,,0.551,0.075868486,0.045647539
,,,,,,0.598,0.111091874,0.028645833
,,,,,,0.79,0.320746464,0
