Sample Name,"Sample depth, m ",Porosity,"Length, ft","Klinkenberg Permeability, mD","Effective Permeability to Oil at Swi, mD",Sw,Krw,Kro
HST-41H,2756.14,21.9,0.151706037,539,255,0.228,0,1
,,,,,,0.429,0.023,0.165
,,,,,,0.487,0.037,0.11
,,,,,,0.521,0.05,0.079
,,,,,,0.571,0.065,0.058
,,,,,,0.613,0.085,0.041
,,,,,,0.641,0.108,0.021
,,,,,,0.736,0.223,0
