Sample Name,"Sample depth, m ",Porosity,"Length, ft","Klinkenberg Permeability, mD","Effective Permeability to Oil at Swi, mD",Sw,Krw,Kro
TGT-78H,2715.69,22.5,0.176673228,65.9,28.46374227,0.317,0,1
,,,,,,0.37,0.015885842,0.570750031
,,,,,,0.437,0.026401156,0.285924524
,,,,,,0.513,0.036351673,0.131229538
,,,,,,0.597,0.055351157,0.066605893
,,,,,,0.66,0.091563091,0.033651524
,,,,,,0.767,0.188950592,0
