Sample Name,"Sample depth, m ",Porosity,"Length, ft","Klinkenberg Permeability, mD","Effective Permeability to Oil at Swi, mD",Sw,Krw,Kro
TGT-137H,2826.17,16.9,0.18484252,28.8,14.79947386,0.352189349,0,1
,,,,,,0.40852071,0.022163205,0.400045857
,,,,,,0.450769231,0.03120192,0.225277859
,,,,,,0.46887574,0.033126081,0.179377731
,,,,,,0.491005917,0.043311513,0.156354563
,,,,,,0.55739645,0.078551685,0.070892896
,,,,,,0.719349112,0.251487892,0
