Sample Name,"Sample depth, m ",Porosity,"Length, ft","Klinkenberg Permeability, mD","Effective Permeability to Oil at Swi, mD",Sw,Krw,Kro
TGT-87H,2804.67,19.9,0.187106299,635,289.3574589,0.2581,0,1
,,,,,,0.353,0.021996251,0.277922634
,,,,,,0.408,0.025554543,0.138377848
,,,,,,0.463,0.031134557,0.093663126
,,,,,,0.507,0.0434651,0.078454506
,,,,,,0.562,0.063710644,0.038332571
,,,,,,0.616,0.091712211,0.023648649
,,,,,,0.726,0.215450908,0
